Loop number,Time taken
0,0.007222175598144531
1,0.0065615177154541016
2,0.0073053836822509766
3,0.006796836853027344
4,0.00669550895690918
5,0.007371187210083008
6,0.00685882568359375
7,0.007162809371948242
8,0.006729602813720703
9,0.007220268249511719
10,0.006768465042114258
11,0.006739139556884766
12,0.007537841796875
13,0.006822824478149414
14,0.006915092468261719
15,0.0068471431732177734
16,0.006784200668334961
17,0.006995201110839844
18,0.006897687911987305
19,0.007086038589477539
20,0.006699562072753906
21,0.0068624019622802734
22,0.00710296630859375
23,0.006849765777587891
24,0.007122039794921875
25,0.007136344909667969
26,0.007245063781738281
27,0.006883382797241211
28,0.006798744201660156
29,0.0071179866790771484
30,0.006728172302246094
31,0.0073070526123046875
32,0.006701946258544922
33,0.007086992263793945
34,0.00687861442565918
35,0.006755828857421875
36,0.007166862487792969
37,0.0067903995513916016
38,0.0069255828857421875
39,0.0067899227142333984
40,0.007062673568725586
41,0.007122039794921875
42,0.006886005401611328
43,0.007065534591674805
44,0.007151365280151367
45,0.007303953170776367
46,0.006714344024658203
47,0.006863594055175781
48,0.007009267807006836
49,0.006748676300048828
